county_state,clinic_count,population_2020,clinics_per_100k,fips
"acadia, la",1,57576,1.736834792274559,
"accomack, va",1,33413,2.9928470954418938,
"ada, id",5,494967,1.0101683546579874,
"adair, mo",1,25314,3.9503831871691553,
"adair, ok",1,19495,5.12952038984355,
"adams, co",9,519572,1.7321949604674618,
"adams, il",2,65737,3.0424266394876556,
"adams, in",1,35809,2.792594040604317,
"adams, ms",2,29538,6.770939129257227,
"adams, ne",1,31205,3.2046146450889283,
"adams, oh",1,27477,3.639407504458274,
"adams, pa",1,103852,0.9629087547663984,
"adams, wa",1,20613,4.851307427351672,
"aguadilla, pr",2,,,
"aibonito, pr",1,,,
"aiken, sc",5,168808,2.961944931519833,
"aitkin, mn",1,15697,6.370644072115691,
"alachua, fl",10,278468,3.5910768921384144,
"alamance, nc",7,171415,4.083656622815973,
"alameda, ca",31,1682353,1.8426572782287665,
"alamosa, co",1,16376,6.106497313141182,
"albany, ny",6,314848,1.905681471694278,
"albany, wy",1,37066,2.697890249824637,
"albemarle, va",2,112395,1.7794385871257619,
"alcorn, ms",1,34740,2.8785261945883707,
"alexander, nc",1,36444,2.7439359016573373,
"alexandria city, va",2,159467,1.2541779803971982,
"allegan, mi",1,120502,0.8298617450332775,
"allegany, md",1,68106,1.4682994156168325,
"allegheny, pa",36,1250578,2.878668903499022,
"allen, in",9,385410,2.335175527360473,
"allen, oh",2,102206,1.956832279905289,
"allendale, sc",1,8039,12.439358129120537,
"alpena, mi",1,28907,3.4593697028401427,
"amador, ca",1,40474,2.4707219449523152,
"amelia, va",1,13265,7.538635506973238,
"american samoa, as",2,,,
"amherst, va",1,31307,3.1941738269396622,
"anchorage, ak",4,,,
"anderson, sc",4,203718,1.9634985617373035,
"anderson, tn",2,77123,2.593260116956031,
"anderson, tx",2,57922,3.4529194433893857,
"androscoggin, me",3,111139,2.699322470060015,
"angelina, tx",2,86395,2.3149487817582037,
"anne arundel, md",14,588261,2.3798959985448636,
"anoka, mn",6,363887,1.648863520818276,
"anson, nc",2,22055,9.06823849467241,
"apache, az",1,66021,1.5146695748322505,
"appling, ga",1,18444,5.421817393190197,
"appomattox, va",1,16119,6.203858800173708,
"aransas, tx",1,23830,4.19639110365086,
"arapahoe, co",11,655070,1.679209855435297,
"arecibo, pr",2,,,
"arkansas, ar",1,17149,5.831243804303457,
"arlington, va",3,238643,1.2571078975708485,
"armstrong, pa",1,65558,1.5253668507276,
"aroostook, me",1,67105,1.4902019223604799,
"ascension, la",4,126500,3.162055335968379,
"ashland, oh",1,52447,1.9066867504337712,
"ashland, wi",1,16027,6.239470892868285,
"ashley, ar",1,19062,5.246039240373518,
"ashtabula, oh",3,97574,3.0745895422961036,
"asotin, wa",1,22285,4.487323311644603,
"atascosa, tx",3,48981,6.124823911312549,
"athens, oh",1,62431,1.601768352260896,
"atlantic, nj",8,274534,2.9140288634558926,
"attala, ms",1,17889,5.590027391134217,
"audrain, mo",1,24962,4.006089255668616,
"augusta, va",1,77487,1.2905390581645955,
"austin, tx",1,30167,3.314880498558027,
"autauga, al",3,58805,5.101607006206955,
"avoyelles, la",2,39693,5.038671806111909,
