county_state,clinic_count,population_2020,clinics_per_100k,fips
"acadia, la",1,57576.0,1.736834792274559,22001
"accomack, va",1,33413.0,2.9928470954418938,51001
"ada, id",5,494967.0,1.0101683546579874,16001
"adair, mo",1,25314.0,3.9503831871691553,29001
"adair, ok",1,19495.0,5.12952038984355,40001
"adams, co",9,519572.0,1.7321949604674618,08001
"adams, il",2,65737.0,3.042426639487656,17001
"adams, in",1,35809.0,2.792594040604317,18001
"adams, ms",2,29538.0,6.770939129257227,28001
"adams, ne",1,31205.0,3.2046146450889283,31001
"adams, oh",1,27477.0,3.639407504458274,39001
"adams, pa",1,103852.0,0.9629087547663984,42001
"adams, wa",1,20613.0,4.851307427351672,53001
"aguadilla, pr",2,,,00nan
"aibonito, pr",1,,,00nan
"aiken, sc",5,168808.0,2.961944931519833,45003
"aitkin, mn",1,15697.0,6.370644072115691,27001
"alachua, fl",10,278468.0,3.5910768921384144,12001
"alamance, nc",7,171415.0,4.083656622815973,37001
"alameda, ca",31,1682353.0,1.8426572782287665,06001
"alamosa, co",1,16376.0,6.106497313141182,08003
"albany, ny",6,314848.0,1.905681471694278,36001
"albany, wy",1,37066.0,2.697890249824637,56001
"albemarle, va",2,112395.0,1.779438587125762,51003
"alcorn, ms",1,34740.0,2.8785261945883707,28003
"alexander, nc",1,36444.0,2.7439359016573373,37003
"alexandria city, va",2,159467.0,1.2541779803971982,51510
"allegan, mi",1,120502.0,0.8298617450332775,26005
"allegany, md",1,68106.0,1.4682994156168323,24001
"allegheny, pa",36,1250578.0,2.878668903499022,42003
"allen, in",9,385410.0,2.335175527360473,18003
"allen, oh",2,102206.0,1.956832279905289,39003
"allendale, sc",1,8039.0,12.439358129120537,45005
"alpena, mi",1,28907.0,3.4593697028401427,26007
"amador, ca",1,40474.0,2.4707219449523152,06005
"amelia, va",1,13265.0,7.538635506973238,51007
"american samoa, as",2,,,00nan
"amherst, va",1,31307.0,3.1941738269396622,51009
"anchorage, ak",4,,,00nan
