FIPS,State,County_Name,Population_2020,RUCC_2023
1001,AL,Autauga County,58805,2.0
1003,AL,Baldwin County,231767,3.0
1005,AL,Barbour County,25223,6.0
1007,AL,Bibb County,22293,1.0
1009,AL,Blount County,59134,1.0
1011,AL,Bullock County,10357,8.0
1013,AL,Butler County,19051,6.0
1015,AL,Calhoun County,116441,3.0
1017,AL,Chambers County,34772,6.0
1019,AL,Cherokee County,24971,8.0
1021,AL,Chilton County,45014,1.0
1023,AL,Choctaw County,12665,9.0
1025,AL,Clarke County,23087,9.0
1027,AL,Clay County,14236,9.0
1029,AL,Cleburne County,15056,8.0
1031,AL,Coffee County,53465,4.0
1033,AL,Colbert County,57227,3.0
1035,AL,Conecuh County,11597,9.0
1037,AL,Coosa County,10387,8.0
1039,AL,Covington County,37570,6.0
1041,AL,Crenshaw County,13194,8.0
1043,AL,Cullman County,87866,4.0
1045,AL,Dale County,49326,4.0
1047,AL,Dallas County,38462,4.0
1049,AL,DeKalb County,71608,6.0
1051,AL,Elmore County,87977,2.0
1053,AL,Escambia County,36757,6.0
1055,AL,Etowah County,103436,3.0
1057,AL,Fayette County,16321,8.0
1059,AL,Franklin County,32113,6.0
1061,AL,Geneva County,26659,3.0
1063,AL,Greene County,7730,2.0
1065,AL,Hale County,14785,2.0
1067,AL,Henry County,17146,3.0
1069,AL,Houston County,107202,3.0
1071,AL,Jackson County,52579,6.0
1073,AL,Jefferson County,674721,1.0
1075,AL,Lamar County,13972,8.0
1077,AL,Lauderdale County,93564,3.0
1079,AL,Lawrence County,33073,3.0
1081,AL,Lee County,174241,3.0
1083,AL,Limestone County,103570,2.0
1085,AL,Lowndes County,10311,2.0
1087,AL,Macon County,19532,3.0
1089,AL,Madison County,388153,2.0
1091,AL,Marengo County,19323,6.0
1093,AL,Marion County,29341,9.0
1095,AL,Marshall County,97612,4.0
1097,AL,Mobile County,414809,2.0
1099,AL,Monroe County,19772,8.0
1101,AL,Montgomery County,228954,2.0
1103,AL,Morgan County,123421,3.0
1105,AL,Perry County,8511,8.0
1107,AL,Pickens County,19123,2.0
1109,AL,Pike County,33009,6.0
1111,AL,Randolph County,21967,8.0
1113,AL,Russell County,59183,2.0
1115,AL,St. Clair County,91103,1.0
1117,AL,Shelby County,223024,1.0
1119,AL,Sumter County,12345,8.0
1121,AL,Talladega County,82149,4.0
1123,AL,Tallapoosa County,41311,6.0
1125,AL,Tuscaloosa County,227036,2.0
1127,AL,Walker County,65342,1.0
1129,AL,Washington County,15388,8.0
1131,AL,Wilcox County,10600,9.0
1133,AL,Winston County,23540,8.0
2013,AK,Aleutians East Borough,3420,9.0
2016,AK,Aleutians West Census Area,5232,9.0
2020,AK,Anchorage Municipality,291247,2.0
2050,AK,Bethel Census Area,18666,7.0
2060,AK,Bristol Bay Borough,844,9.0
2063,AK,Chugach Census Area,7102,9.0
2066,AK,Copper River Census Area,2617,9.0
2068,AK,Denali Borough,1619,9.0
2070,AK,Dillingham Census Area,4857,9.0
2090,AK,Fairbanks North Star Borough,95655,3.0
2100,AK,Haines Borough,2080,9.0
2105,AK,Hoonah-Angoon Census Area,2365,9.0
2110,AK,Juneau City and Borough,32255,5.0
2122,AK,Kenai Peninsula Borough,58799,7.0
2130,AK,Ketchikan Gateway Borough,13948,7.0
2150,AK,Kodiak Island Borough,13101,7.0
2158,AK,Kusilvak Census Area,8368,9.0
2164,AK,Lake and Peninsula Borough,1476,9.0
2170,AK,Matanuska-Susitna Borough,107081,2.0
2180,AK,Nome Census Area,10046,9.0
2185,AK,North Slope Borough,11031,9.0
2188,AK,Northwest Arctic Borough,7793,9.0
2195,AK,Petersburg Borough,3398,9.0
2198,AK,Prince of Wales-Hyder Census Area,5753,9.0
2220,AK,Sitka City and Borough,8458,7.0
2230,AK,Skagway Municipality,1240,9.0
2240,AK,Southeast Fairbanks Census Area,6808,9.0
2275,AK,Wrangell City and Borough,2127,9.0
2282,AK,Yakutat City and Borough,662,9.0
2290,AK,Yukon-Koyukuk Census Area,5343,8.0
4001,AZ,Apache County,66021,8.0
4003,AZ,Cochise County,125447,3.0
4005,AZ,Coconino County,145101,3.0
4007,AZ,Gila County,53272,4.0
4009,AZ,Graham County,38533,7.0
4011,AZ,Greenlee County,9563,9.0
4012,AZ,La Paz County,16557,6.0
4013,AZ,Maricopa County,4420568,1.0
4015,AZ,Mohave County,213267,3.0
4017,AZ,Navajo County,106717,4.0
4019,AZ,Pima County,1043433,1.0
